date;open;high;low;close;volume
20011004;24,51;25,56;23,95;25,43;910296
20011002;24,7;25;22,9;24;764516
20011001;25,85;26,19;23,56;24,26;778948
20010928;25,25;26,46;25;26,46;791024
20010927;24,26;25;23,45;24,63;870915
20010926;24,55;25,89;23,5;24,22;913480
20010925;22,9;25,95;21,9;23,07;1451596
20010924;21,2;23,04;20,05;22,01;689519
20010921;19;21;17,15;20,35;2678489
20010920;23,89;23,89;19,2;19,2;937283
20010919;25,89;26,19;23,09;23,09;767385
20010918;24,11;26,4;23,52;25,37;556572
20010917;25;26,38;22,7;24,47;1181782
20010910;33,84;34,46;33,37;33,43;395994
20010907;34,07;34,87;33,62;34,15;367570
20010906;34,88;35,12;33;34,52;583505
20010905;35,3;35,31;34,32;34,8;251279
20010904;34,82;35,6;34,65;35,47;220297
20010903;35,45;35,45;34,6;34,78;139397
20010831;34,21;35,75;34,21;34,82;368712
20010830;35,55;35,82;34,08;34,5;451926
20010829;35,72;36,1;35,38;35,85;312423
20010828;35,89;36,49;35,25;36,18;454207
20010827;35,9;35,94;35,35;35,55;225131
20010824;36;36,26;35,25;35,35;697299
20010823;34,5;36,36;34,01;35,82;1209815
20010822;33,25;34,62;33,06;34,35;490692
20010821;32,7;34,06;32,16;33,25;466855
20010820;33,25;33,49;32,37;32,88;378300
20010817;33,9;34,2;32,92;33,08;577142
20010815;34,24;34,6;34,02;34,12;262319
20010814;34,95;34,95;33,75;34,38;356549
20010813;34,8;34,9;34,06;34,6;436769
20010810;35,05;35,19;34,17;34,53;343737
20010809;35,41;36,19;34,45;35,1;501698
20010808;35,73;36,11;35,5;35,82;341094
20010807;35,49;36,25;35,34;35,75;371238
20010806;35,4;35,67;35,08;35,4;289523
20010803;35,49;35,77;35,11;35,25;287080
20010802;34,45;35,71;34,21;35,15;766831
20010801;34,5;34,5;33,91;34,21;380820
20010731;34,15;34,6;33,52;34,48;475422
20010730;33,8;34,13;33,65;34,1;327843
20010726;33,99;34,43;33,39;33,99;481052
20010725;34,25;34,48;33,37;33,8;442068
20010724;34,94;34,94;34,21;34,35;192868
20010723;34,4;34,95;33,8;34,65;282155
20010720;34,05;34,59;33,9;34,49;504061
20010719;34,48;34,69;34;34,5;479016
20010718;35,44;35,44;34,16;34,45;422741
20010717;34,97;35,6;34,82;35,17;261492
20010716;34,9;35,49;34,33;34,92;830107
20010713;36,4;36,4;33,5;34,55;1207292
20010712;36,03;36,97;36,03;36,7;541622
20010711;35,26;36,06;34,8;35,8;506323
20010710;36,4;36,98;35,35;35,57;650611
20010709;36,79;36,99;36;36,4;256303
20010706;36,65;37,28;36,65;36,65;288999
20010705;36,25;37,1;36;36,7;267519
20010704;36,62;36,75;36,32;36,42;241886
20010703;36,95;37,6;36,23;36,56;359694
20010702;35,98;37,24;35,86;36,8;448589
20010629;35,9;36,3;35,55;35,8;259779
20010628;35,8;36,15;35,16;35,71;211891
20010627;35,8;36,1;35,32;35,6;377511
20010626;35,84;36,16;34,86;35,75;284541
20010625;35,25;37,03;35,2;35,82;492846
20010622;35,25;35,6;35,05;35,6;331003
20010621;35,84;35,84;34,59;35,2;331241
20010620;35,71;35,84;35,2;35,35;373223
20010619;36;36,53;35,74;35,74;349907
20010618;36,09;36,3;35,59;35,82;512210
20010615;37,17;37,67;35,9;35,9;5174056
20010614;38,32;38,32;37,13;37,22;321178
20010613;38,75;38,75;37,81;38,19;226730
20010612;38,51;38,84;38,1;38,27;307696
20010611;38,75;39,11;38,54;38,82;202786
20010608;39;39,28;38,61;39;171848
20010607;39,75;39,91;38,37;39,15;517358
20010606;39,9;39,99;39,2;39,62;419341
20010605;38,99;40;38,72;40;425990
20010604;38,9;39,1;38,31;38,7;136310
20010601;38,9;39,5;38,31;38,91;479634
20010531;38;39,25;37,88;38,9;568643
20010530;39,1;39,1;38,12;38,35;396987
20010529;39,65;39,75;38,84;39,21;324261
20010528;39,39;39,84;39,27;39,45;159586
20010525;40,34;40,34;39,35;39,55;290913
20010524;39,67;40,41;39,4;39,8;211286
20010523;39,72;40,5;39,26;39,87;541419
20010522;40;40,22;39,2;40,01;642631
20010521;38,99;39,99;38,38;39,65;679196
20010518;38,3;39,65;38,15;39,65;1233465
20010517;38,45;38,74;37,79;38,12;429962
20010516;38,44;38,44;37,43;38,1;620103
20010515;38;38,5;37,91;38,03;607749
20010514;37,4;38,1;37,4;37,77;528341
20010511;37,65;37,79;37,03;37,35;171037
20010510;36,56;37,8;36,56;37,35;328121
20010509;38;38;36,89;37,2;642463
20010508;36,25;38,13;36,15;37,7;772708
20010507;36,5;36,85;35,8;36,05;221826
20010504;36,39;36,7;35,51;36,09;455733
20010503;37,5;37,5;36,15;36,24;383459
20010502;38,45;38,45;37,08;37,34;270260
20010430;37,01;38,05;37,01;37,84;313188
20010427;37,53;37,8;36,46;37,25;482820
20010426;36,81;37,48;36,8;37,39;611814
20010425;36,91;37,51;36,75;36,85;308812
20010424;37,35;37,7;36,8;37,15;278098
20010423;37,7;37,84;37;37,15;405258
20010420;37;37,9;37;37,51;560464
20010419;39,25;39,25;37,01;37,38;794327
20010418;39;39,49;38,43;38,71;792371
20010417;38,03;39,62;37,9;39,33;616055
20010412;37,91;39,04;37,65;38,8;487263
20010411;37;38,45;36,8;37,81;797149
20010410;35,89;37,55;35,32;36,9;977024
20010409;35,15;35,95;35,15;35,63;350847
20010406;36,4;36,6;35,21;35,42;335400
20010405;35,45;36,43;35,45;36,15;415347
20010404;36,21;36,5;35,1;35,75;647588
20010403;37,22;37,79;35,91;36,35;407585
20010402;37,19;37,79;36,76;37,38;375885
20010330;36,75;38,1;36,5;36,61;914516
20010329;36,63;37,2;36,39;36,81;343629
20010328;35,5;36,69;35,11;36,17;531980
20010327;35,4;35,75;35;35,6;463443
20010326;36;36,35;35,01;35,49;344595
20010323;36,24;36,49;34,7;35,7;529378
20010322;37,17;37,4;35,56;36,15;1023425
20010321;36,76;37,79;36,76;37,22;496114
20010320;37,11;38,2;37,01;37,35;355763
20010319;37,95;38,39;36,3;37,1;792235
20010316;39,64;39,64;37,5;38;4216819
20010315;39,7;40,14;38,8;39,52;498962
20010314;40,9;40,9;39,58;39,71;934896
20010313;40,61;41,39;40,51;40,9;588355
20010312;41,75;42,21;41,3;41,31;402994
20010309;41,72;41,95;40,85;41,53;357504
20010308;40,71;41,73;40,44;41,42;444297
20010307;40,12;40,95;39,86;40,57;313014
20010306;40,42;40,49;40,1;40,14;180103
20010305;40,38;40,7;39,89;40,22;229263
20010302;40,3;40,69;39,53;40,36;365548
20010301;40,6;41,3;40,19;40,3;618137
20010228;41,25;41,85;40,75;41,41;439666
20010227;41,98;42,15;41,2;41,53;235482
20010226;41,9;41,9;40,5;41,61;282517
20010223;41,4;42,18;41,04;41,65;349605
20010222;42,39;42,39;41,02;41,85;550772
20010221;42,52;43,26;41,5;41,87;506918
20010220;42,75;43,53;42,29;42,53;497846
20010219;43,31;43,45;42,31;42,75;361036
20010216;43,22;43,57;42,76;43,31;688998
20010215;42,41;43,17;42,15;42,8;275196
20010214;42,05;42,9;42,01;42,4;394803
20010213;42,18;42,69;41,93;42,03;292560
20010212;41,75;42,32;41,3;42,08;378445
20010209;41,25;41,66;40,7;41,2;348750
20010208;41;41,85;40,79;41,32;478966
20010207;42,08;42,1;40,53;40,91;859668
20010206;43,45;43,5;42;42,28;804038
20010205;43,02;43,9;43,02;43,65;343348
20010202;43,22;43,75;43,22;43,41;266451
20010201;43,75;43,75;42,56;43,22;635106
20010131;44,04;44,67;43,26;43,7;609956
20010130;44,5;45,14;43,91;44,24;574212
20010129;43,85;44,97;43,35;44,7;499806
20010126;44,6;44,6;43,33;43,76;429679
20010125;44,88;44,88;44,1;44,43;446908
20010124;44,5;45,14;43,2;44,5;972853
20010123;42,92;44,29;42,73;44,2;574208
20010122;43,25;43,79;42,6;43,03;290936
20010119;42,2;43,15;42;43,03;417069
20010118;41,65;42,38;41,4;42,11;437183
20010117;41,75;42,79;41,31;42,1;444879
20010116;44;44;41,66;42,13;712858
20010115;43,6;43,98;43,26;43,4;241222
20010112;43,7;44,35;43,01;43,57;733649
20010111;42,97;44;42,5;43,5;914725
20010110;42;43,3;42;42,7;959547
20010109;41,82;42,49;41,31;42,3;740353
20010108;41,3;41,7;40,7;41,25;524591
20010105;40,8;41,76;40,29;41,04;698332
20010104;40;40,62;39,06;39,91;341006
20010103;39;40,35;39;39,46;460318
20010102;38,41;39,38;38,41;39,23;396247
20001229;38,64;38,9;38,1;38,41;153025
20001228;38,4;38,76;38,1;38,35;297350
20001227;38,36;38,69;37,81;38,12;377830
20001222;38,49;38,79;38;38,25;197812
20001221;38,06;38,5;37,68;38,17;372992
20001220;38,75;39,44;38,01;38,3;629568
20001219;39,2;39,95;38,53;39,2;603932
20001218;39,45;39,99;38,48;39,45;447918
20001215;39,71;40,07;39,33;39,7;1112161
20001214;39,95;40,53;39,53;39,96;379191
20001213;40,32;40,4;39,53;39,8;225143
20001212;40,89;40,89;39,66;40,13;370038
20001211;41,44;41,44;39,85;40,55;789444
20001208;41,7;41,96;40,46;41,32;466648
20001207;41,95;41,96;40,31;41,6;623611
20001206;40,8;42,5;40,51;41,95;1156770
20001205;38,9;41,2;38,31;40,45;1078147
20001204;38,5;39;38,3;38,78;335614
20001201;38,3;38,98;38,2;38,44;424048
20001130;38,23;39,27;37,5;39,27;540920
20001129;38,15;38,8;38,12;38,23;364325
20001128;38,9;39,2;38,08;38,5;340919
20001127;37,97;39,18;37,53;38,48;386742
20001124;38;38,8;37,08;37,55;459749
20001123;38,9;38,9;38,07;38,35;302588
20001122;38,47;38,94;38,11;38,6;260004
20001121;38,1;39,04;38,1;38,48;259385
20001120;37,65;39,1;37,26;38,55;774300
20001117;37,65;37,89;37,18;37,5;216607
20001116;37,49;38,04;36,54;37,62;245990
20001115;38,39;38,39;36,85;37,34;370071
20001114;36,98;38,55;36,98;38,1;342060
20001113;37,76;38,64;35,65;36,88;565906
20001110;39;39;37,7;37,8;367027
